SG_UF,NM_MUNICIPIO,CD_TSE,CD_IBGE
MG,CAMANDUCAIA,42099,3110509
GO,ANÁPOLIS,92215,5201108
PE,PAULISTA,25135,2510907
PI,ALAGOINHA DO PIAUÍ,12319,2200251
RS,TAPES,89257,4321105
SP,FRANCISCO MORATO,64270,3516309
SC,BARRA VELHA,80411,4202107
CE,ARARIPE,13250,2301307
PI,COLÔNIA DO PIAUÍ,10227,2202778
RS,ESTRELA,86533,4307807
MA,GOVERNADOR NUNES FREIRE,7668,2104677
MA,SENADOR LA ROCQUE,8508,2111763
MS,NAVIRAÍ,91138,5005707
PR,RONDON,78298,4122602
MG,FRANCISCO DUMONT,45314,3126604
PA,ALENQUER,4073,1500404
SE,RIBEIRÓPOLIS,32190,2806008
SP,VALINHOS,72257,3556206
MS,BATAGUASSU,90379,5001904
RS,VIADUTOS,89613,4322905
SC,MAJOR GERCINO,82015,4210209
AL,UNIÃO DOS PALMARES,28851,2709301
BA,UIBAÍ,39470,2932408
BA,CORDEIROS,34797,2909000
SP,PEDREIRA,68438,3537107
GO,CRIXÁS,93297,5206404
RJ,CAMBUCI,58173,3300902
CE,BARREIRA,13129,2301950
MA,TIMON,9377,2112209
RJ,BOM JESUS DO ITABAPOANA,58114,3300605
GO,MINAÇU,96474,5213087
ES,NOVA VENÉCIA,56774,3203908
SP,RIBEIRÃO GRANDE,61700,3543253
MG,GUIMARÂNIA,45772,3128907
MG,SERRA DA SAUDADE,53317,3166600
MG,CARMÓPOLIS DE MINAS,42897,3114501
CE,ITAREMA,15954,2306553
SC,SÃO DOMINGOS,83178,2513968
GO,CAVALCANTE,93050,5205307
GO,PALESTINA DE GOIÁS,92460,5215652
RS,ARROIO DO MEIO,85197,4301008
PE,JABOATÃO DOS GUARARAPES,24570,2607901
SP,ELDORADO,63975,3514809
BA,BROTAS DE MACAÚBAS,33898,2904506
CE,TRAIRI,15717,2313500
MG,SÃO FRANCISCO,52213,2513984
PI,CARAÚBAS DO PIAUÍ,12670,2202539
PR,UBIRATÃ,79332,4128005
SC,ÁGUAS DE CHAPECÓ,80098,4200507
PR,LARANJEIRAS DO SUL,76597,4113304
CE,AURORA,13331,2301703
TO,ARAPOEMA,92452,1702307
PR,CAPANEMA,74870,1502202
PI,BENEDITINOS,10316,2201606
SE,NEÓPOLIS,31879,2804409
MT,NOVA XAVANTINA,91952,5106257
CE,QUITERIANÓPOLIS,13102,2311264
MA,SANTA RITA,9016,2110203
AL,SÃO JOSÉ DA LAJE,28657,2708303
BA,MONTE SANTO,37311,2921500
RN,SÃO RAFAEL,18538,2412807
PR,CAMPINA DO SIMÃO,75183,4103958
RS,SAPIRANGA,88994,4319901
SE,PIRAMBU,32050,2805307
MG,PASSOS,49573,3147907
RS,SAPUCAIA DO SUL,89010,4320008
AM,SÃO GABRIEL DA CACHOEIRA,2836,1303809
BA,CAMAMU,34150,2905800
BA,CANDEIAS,34290,2906501
SP,SALES,69973,3544806
PR,PONTA GROSSA,77771,4119905
SP,PAULÍNIA,68314,3536505
PA,SALINÓPOLIS,5231,1506203
MG,ITAMBACURI,46531,3132701
BA,CAETITÉ,34037,2905206
PR,WENCESLAU BRAZ,79430,3172202
SP,FRANCO DA ROCHA,64297,3516408
SP,ITAPEVI,65510,3522505
SP,JUQUITIBA,66257,3526209
MA,COLINAS,7676,2103505
AC,JORDÃO,1104,1200328
GO,ABADIÂNIA,92010,5200100
CE,BREJO SANTO,13498,2302503
SP,BOTUCATU,62499,3507506
SP,COSMÓPOLIS,63576,3512803
SP,PARDINHO,68233,3536109
RS,SÃO SEBASTIÃO DO CAÍ,88935,4319505
TO,ARAGUAÍNA,92410,1702109
PB,TAVARES,22330,2516607
GO,GUAPÓ,93815,5209200
TO,TOCANTINÓPOLIS,96210,1721208
PR,SÃO SEBASTIÃO DA AMOREIRA,78956,4126009
SP,ANALÂNDIA,61395,3502002
RN,FLORÂNIA,16756,2403806
AL,ARAPIRACA,27057,2700300
AL,MATA GRANDE,27995,2705002
PA,REDENÇÃO,5673,1506138
PE,BELO JARDIM,23337,2601706
BA,QUIJINGUE,38199,2925907
PB,SANTA LUZIA,21695,2110005
GO,IPIRANGA DE GOIÁS,93548,5210158
SC,PRINCESA,81647,4214151
MS,DOURADOS,90735,5003702
ES,COLATINA,56294,3201506
SP,ITAPIRA,65536,3522604
PR,FOZ DO IGUAÇU,75639,4108304
CE,BARBALHA,13374,2301901
PR,SARANDI,84611,4126256
SP,ROSEIRA,69876,3544301
BA,IBIQUERA,35530,2912608
MG,FORTUNA DE MINAS,45276,3126406
SC,GUARAMIRIM,81272,4206504
BA,SALINAS DA MARGARIDA,38474,2927309
SC,FRAIBURGO,81078,4205506
MT,PEIXOTO DE AZEVEDO,98817,5106422
MG,JOÃO MONLEVADE,47236,3136207
MA,LAGO DA PEDRA,8133,2105708
PI,ASSUNÇÃO DO PIAUÍ,12106,2201051
RJ,CARMO,58238,3301207
SP,TEODORO SAMPAIO,71870,2931400
MG,CAETANÓPOLIS,41971,3109907
MG,MATEUS LEME,48135,3140704
AL,FLEXEIRAS,27553,2702801
SC,IMBITUBA,81434,4207304
SP,PAULICÉIA,68292,3536406
GO,PONTALINA,95494,5217708
PE,AMARAJI,23175,2600906
RS,MORRINHOS DO SUL,87122,4312443
SP,OSVALDO CRUZ,67938,3534609
MG,OLHOS DÁGUA,41203,3145455
MG,RIO ACIMA,50954,3154804
MS,PONTA PORÃ,91316,5006606
RJ,RESENDE,58831,3304201
BA,ITAPETINGA,36293,2916401
BA,PINDOBAÇU,37931,2924603
PR,MATINHOS,79634,4115705
RJ,ITATIAIA,58440,3302254
PR,PARANACITY,77437,4118105
PI,GUARIBAS,10804,2204550
MG,SANTANA DO PARAÍSO,40681,3158953
MG,SILVIANÓPOLIS,53473,3167400
SP,SÃO VICENTE,71218,2413003
AP,AMAPÁ,6017,1600105
SP,MONTE AZUL PAULISTA,67318,3531506
BA,IBIRAPUÃ,35572,2912806
GO,ALTO PARAÍSO DE GOIÁS,92118,5200605
RS,PONTÃO,87424,4314779
BA,RIO DE CONTAS,38350,2926707
AL,MURICI,28096,2705507
MG,MATO VERDE,48194,3141009
AL,TRAIPU,28835,2709202
MG,ERVÁLIA,44792,3124005
SE,AREIA BRANCA,31097,2401107
GO,INHUMAS,93955,5210000
MA,TUNTUM,9393,2112308
BA,PINDAÍ,37915,2924504
RJ,NITERÓI,58653,3303302
PR,PARANAVAÍ,77496,4118402
SC,TIMBÓ GRANDE,80209,4218251
CE,CARIDADE,13595,2303006
SP,IBATÉ,64874,3519303
AL,COLÔNIA LEOPOLDINA,27413,2702108
SP,ITABERÁ,65358,3521705
PR,UNIÃO DA VITÓRIA,79375,4128203
BA,CRUZ DAS ALMAS,34959,2909802
SP,OLÍMPIA,67792,3533908
MG,COROMANDEL,43850,3119302
BA,ILHÉUS,35734,2913606
RN,FRANCISCO DANTAS,16772,2403905
RS,LAJEADO,87297,1712009
SP,MOGI GUAÇU,67156,3530706
SC,ITUPORANGA,81671,4208500
MG,TUMIRITINGA,53899,3169505
SP,JANDIRA,66010,3525003
BA,QUEIMADAS,38172,2512507
MG,CARLOS CHAGAS,42730,3113701
MG,ITANHOMI,46639,3133204
SP,CAMPO LIMPO PAULISTA,62936,3509601
SC,BALNEÁRIO CAMBORIÚ,80390,4202008
MA,CODÓ,7633,2103307
PR,MARILENA,79758,4115002
MS,PARANAÍBA,91251,5006309
AP,MAZAGÃO,6076,1600402
MA,VIANA,9490,2112803
SP,JACUPIRANGA,65935,3524600
BA,SANTA MARIA DA VITÓRIA,38636,2928109
PE,GARANHUNS,24198,2606002
GO,EDÉIA,93491,5207402
BA,MEDEIROS NETO,37230,2921104
PE,OLINDA,24910,2609600
BA,ITAPARICA,36234,2916104
PE,IBIMIRIM,24317,2606606
PE,SALOÁ,25453,2612307
BA,GANDU,35238,2911204
MS,AQUIDAUANA,90212,5001102
RJ,VOLTA REDONDA,59250,3306305
SC,SÃO JOSÉ,83275,4216602
CE,POTIRETAMA,13269,2311231
RN,PARAÚ,17736,2408706
RJ,CASIMIRO DE ABREU,58254,3301306
SP,CANITAR,61344,3510153
PA,CASTANHAL,4472,1502400
SP,LOUVEIRA,66478,3527306
SP,PRADÓPOLIS,69191,3540903
RS,PEDRAS ALTAS,89567,4314175
PR,ORTIGUEIRA,77275,4117305
ES,SÃO GABRIEL DA PALHA,56936,3204708
SC,CONCÓRDIA,80837,4204301
GO,GOIANIRA,93750,5208806
PI,ALTO LONGÁ,10057,2200301
BA,ITABERABA,35955,2914703
RS,CAPÃO DO LEÃO,89737,4304663
GO,CRISTALINA,93254,5206206
SP,PALMEIRA DOESTE,68055,3535200
PR,FAZENDA RIO GRANDE,74322,4107652
PE,ABREU E LIMA,26310,2600054
PB,BAYEUX,19372,2501807
MG,GUAPÉ,45616,3128105
BA,ELÍSIO MEDRADO,35050,2910305
SC,SÃO BONIFÁCIO,83135,4215901
MG,SETUBINHA,42404,3165552
MG,ALFREDO VASCONCELOS,40002,3101631
SP,MARINÓPOLIS,66834,3529104
PA,COLARES,4510,1502608
PR,GUARAPUAVA,75833,4109401
PE,ARAÇOIABA,23205,2601052
PE,LAGOA DO OURO,24716,2608602
MG,UBAPORANGA,40860,3170057
SP,MAIRIPORÃ,66710,3528502
SP,CAMPOS DO JORDÃO,62952,3509700
SC,RIO DO SUL,82910,4214805
SP,ITAPECERICA DA SERRA,65455,3522208
MG,ARAÇUAÍ,40673,3103405
SP,MIGUELÓPOLIS,66958,3529708
PB,PARARI,19720,2510659
MG,CANTAGALO,41823,3112059
SE,ROSÁRIO DO CATETE,32212,2806107
RS,ROCA SALES,88196,4315800
PB,ALAGOINHA,19097,2500502
SP,TIETÊ,71919,3554508
GO,SANTA HELENA DE GOIÁS,95818,5219308
MA,GUIMARÃES,7951,2104909
MA,PINHEIRO,8699,2108603
RS,ARROIO GRANDE,85251,4301305
RJ,VASSOURAS,59234,3306206
PR,SÃO TOMÉ,78972,2412906
GO,GOIANÉSIA,93718,5208608
BA,NOVA SOURE,37591,2922904
PE,SANTA CRUZ DO CAPIBARIBE,25496,2612505
PB,SAPÉ,22071,2515302
MA,GONÇALVES DIAS,7854,2104404
RS,BAGÉ,85316,4301602
AL,SANTANA DO IPANEMA,28592,2708006
CE,PACAJUS,14931,2309607
MG,ITAÚNA,46752,3133808
MG,PIRANGA,50156,3150802
PR,TOLEDO,79278,3169109
BA,RIO REAL,38415,2927002
SP,PIRAPORA DO BOM JESUS,68837,3539103
AL,MACEIÓ,27855,2704302
BA,CHORROCHÓ,34533,2907707
BA,JUSSIAPE,36730,2918605
RS,SÃO SEPÉ,88951,4319604
PI,SANTA FILOMENA,11835,2209203
PA,ORIXIMINÁ,5053,1505304
SP,AMERICANA,61310,3501608
PR,CAMBÉ,74713,4103701
BA,IRECÊ,35939,2914604
AL,PENEDO,28339,2706703
RO,NOVA UNIÃO,744,1101435
GO,ESTRELA DO NORTE,93513,3515301
MG,IPUIÚNA,46299,3131505
GO,URUAÇU,96334,5221601
MG,TRÊS MARIAS,41157,3169356
CE,MADALENA,13021,2307635
PB,BONITO DE SANTA FÉ,19496,2502409
MT,NOBRES,91170,5105903
AL,IGACI,27618,2703106
PA,CURIONÓPOLIS,5851,1502772
MG,ANDRADAS,40517,3102605
RN,SÃO MIGUEL DO GOSTOSO,16063,2412559
PR,CORONEL VIVIDA,75272,4106506
PR,PAIÇANDU,77313,4117503
CE,SANTA QUITÉRIA,15458,2312205
MT,COMODORO,99015,5103304
ES,ALEGRE,56030,3200201
MG,FRANCISCO SÁ,45330,3126703
CE,SOBRAL,15598,2312908
MA,BREJO,7390,2102101
SP,LAVRINHAS,66338,3526605
GO,VALPARAÍSO DE GOIÁS,93300,5221858
SP,PIEDADE,68578,3537800
SC,PAPANDUVA,82392,4212205
RS,SANTA CRUZ DO SUL,88390,4316808
SC,ITAJAÍ,81612,4208203
PA,BARCARENA,4251,1501303
SP,ARAÇOIABA DA SERRA,61573,3502903
SP,SÃO MANUEL,71030,3550100
MA,CAMPESTRE DO MARANHÃO,7382,2102556
PR,TAPEJARA,79111,4126801
PB,JERICÓ,20494,2507408
MG,PRUDENTE DE MORAIS,50717,3153608
PR,PIRAQUARA,77690,4119509
PE,SANHARÓ,25470,2612406
RN,JARDIM DO SERIDÓ,17116,2405702
MG,CONCEIÇÃO DO MATO DENTRO,43494,3117504
MG,TIRADENTES,53759,3168804
PR,SANTA TEREZINHA DE ITAIPU,84670,4124053
SP,HORTOLÂNDIA,61727,3519071
PI,BARRAS,10235,2201200
PA,PARAUAPEBAS,5835,1505536
SP,RIO GRANDE DA SERRA,69833,3544103
CE,TABULEIRO DO NORTE,15636,2313104
RS,BENTO GONÇALVES,85413,4302105
SE,TOMAR DO GERU,32492,2807501
PA,SÃO GERALDO DO ARAGUAIA,5797,1507458
SE,ITAPORANGA DAJUDA,31631,2803203
PB,PIRPIRITUBA,21377,2511806
PR,ASSIS CHATEAUBRIAND,79537,4102000
MA,TRIZIDELA DO VALE,8567,2112233
RJ,SILVA JARDIM,59110,3305604
MT,LUCAS DO RIO VERDE,90603,5105259
TO,ESPERANTINA,73296,1707405
CE,CEDRO,13757,2303808
CE,PENTECOSTE,15156,2310704
PB,POÇO DANTAS,19640,2512036
MA,JOSELÂNDIA,8117,2105609
BA,ITAETÉ,36013,2915007
RS,OSÓRIO,87734,4313508
BA,SÃO DESIDÉRIO,38776,2928901
RO,JI-PARANÁ,51,1100122
SP,JOSÉ BONIFÁCIO,66150,3525706
PE,VICÊNCIA,26255,2616308
SE,LARANJEIRAS,31712,2803609
PE,ITAPISSUMA,26336,2607752
CE,PACOTI,14974,2309805
SP,CACHOEIRA PAULISTA,62731,3508603
SP,MONTE ALTO,67270,3531308
PR,RIO BONITO DO IGUAÇU,74748,4122156
RS,ENCANTADO,86339,4306809
BA,MAIRI,37036,2920106
CE,ACOPIARA,13056,2300309
RS,CACHOEIRA DO SUL,85596,4303004
GO,PIRES DO RIO,95451,5217401
PE,TIMBAÚBA,26050,2615300
PR,RIO NEGRO,78239,4122305
BA,ITACARÉ,35998,2914901
GO,ITAPURANGA,94196,5211206
PI,CAPITÃO GERVÁSIO OLIVEIRA,10707,2202455
SP,PLATINA,68950,3539707
PI,PIMENTEIRAS,11614,2208106
AM,JURUÁ,2470,1302207
BA,CARAÍBAS,34363,2906899
TO,PORTO NACIONAL,95591,1718204
CE,CRATEÚS,13838,2304103
PR,PINHÃO,77658,2805208
BA,CONCEIÇÃO DO COITÉ,34673,2908408
CE,IPUEIRAS,14192,1709807
CE,NOVO ORIENTE,14893,2309409
BA,EUCLIDES DA CUNHA,35130,2910701
MG,JEQUITINHONHA,47155,3135803
SP,CATIGUÁ,63258,3511201
SC,CAPINZAL,80756,4203907
MG,ARAXÁ,40797,3104007
SC,PORTO UNIÃO,82678,4213609
ES,MUNIZ FREIRE,56731,3203700
MG,MIRAÍ,48437,3142205
RS,TAPERA,89230,4321006
RS,SEDE NOVA,85707,4320230
BA,CARAVELAS,34371,2906907
PR,CRUZ MACHADO,75337,4106803
PR,FORMOSA DO OESTE,75612,4108205
BA,QUIXABEIRA,39845,2925931
MS,COSTA RICA,98035,5003256
RS,SANTO ANTÔNIO DA PATRULHA,88552,4317608
MA,TURIAÇU,9415,2112407
MG,SÃO JOSÉ DO MANTIMENTO,52710,3163607
MA,BARRA DO CORDA,7315,2101608
GO,SÃO DOMINGOS,95915,2513968
RJ,NOVA FRIBURGO,58670,3303401
PE,SAIRÉ,25399,2612000
AC,BUJARI,1007,1200138
MA,SÃO JOÃO DO CARÚ,8303,2111029
MG,JAPONVAR,42269,3135357
PI,UNIÃO,12211,2211100
PR,TIJUCAS DO SUL,79251,4127601
BA,JACOBINA,36510,2917508
CE,TURURU,13080,2313559
RS,TENENTE PORTELA,89311,4321402
CE,APUIARÉS,13170,2300903
SP,SÃO CAETANO DO SUL,70777,3548807
SC,ITAPOÁ,81663,4208450
RS,CARLOS BARBOSA,85936,4304804
AP,VITÓRIA DO JARI,6122,1600808
MS,CORONEL SAPUCAIA,98590,5003157
MG,CRISTÁLIA,44059,3120300
RS,PASSO FUNDO,87858,4314100
BA,JEREMOABO,36633,2918100
ES,ÁGUA DOCE DO NORTE,56022,3200169
AM,ALVARÃES,2895,1300029
SP,SALES OLIVEIRA,69990,3544905
BA,SANTALUZ,38610,2928000
MG,PEDRAS DE MARIA DA CRUZ,40541,3149150
SP,NUPORANGA,67733,3533601
PB,BOQUEIRÃO,19518,2502508
PR,FRANCISCO BELTRÃO,75655,4108403
PI,FLORES DO PIAUÍ,10758,2203800
PA,IRITUIA,4693,1503507
PR,FLOR DA SERRA DO SUL,74349,4107850
SE,SANTA LUZIA DO ITANHY,32255,2806305
SP,NOVA EUROPA,67598,3532900
SP,VARGEM GRANDE DO SUL,72311,3556404
SP,ECHAPORÃ,63959,3514700
RS,CAIBATÉ,85650,4303301
MA,SÃO DOMINGOS DO MARANHÃO,9113,2110708
BA,SIMÕES FILHO,39136,2930709
BA,SÁTIRO DIAS,38938,2929701
RS,ROSÁRIO DO SUL,88315,4316402
CE,UMIRIM,98558,2313757
BA,LUÍS EDUARDO MAGALHÃES,30007,2919553
SE,POÇO REDONDO,32077,2805406
SP,CORDEIRÓPOLIS,63495,3512407
CE,JAGUARIBE,14397,2306900
SP,PRESIDENTE VENCESLAU,69310,3541505
MT,PARANATINGA,89834,5106307
SC,FLORIANÓPOLIS,81051,4205407
RJ,SAQUAREMA,59099,3305505
MA,MORROS,8419,2107100
MG,CAETÉ,41998,3110004
CE,AIUABA,13072,2300408
RS,NÃO-ME-TOQUE,87556,4312658
PI,JOSÉ DE FREITAS,11096,2205508
MG,MONTALVÂNIA,48534,3142700
BA,PINTADAS,39837,2924652
MG,CAIANA,42013,3110103
PR,RIO BRANCO DO SUL,78212,4122206
GO,SANTA ISABEL,96890,3546801
PE,CUPIRA,23990,2605004
SC,MONTE CASTELO,82171,3531605
PA,SANTO ANTÔNIO DO TAUÁ,5398,1507003
PR,ASTORGA,74390,4102109
RN,VILA FLOR,18996,2415008
ES,PONTO BELO,56200,3204252
PR,CAMPO MOURÃO,74837,4104303
MG,PATROCÍNIO,49611,3148103
MT,TABAPORÃ,90220,5107941
PI,MIGUEL ALVES,11231,2206209
MG,SÃO JOÃO DA PONTE,52477,3162401
PE,MANARI,23248,2609154
SC,BENEDITO NOVO,80438,4202206
AC,ACRELÂNDIA,1120,1200013
RJ,JAPERI,58149,3302270
MA,LAGO VERDE,8176,2105906
PI,CURIMATÁ,10634,2203206
MA,SENADOR ALEXANDRE COSTA,8486,2111748
PA,CONCÓRDIA DO PARÁ,5819,1502756
MG,JABOTICATUBAS,46914,3134608
PR,PÉROLA,79693,4118907
MG,CRISTAIS,44032,3120201
MG,TOCANTINS,53791,3169000
RN,SÃO FRANCISCO DO OESTE,18210,2411908
RJ,TERESÓPOLIS,59153,3305802
CE,TIANGUÁ,15695,2313401
SP,CAPIVARI,63096,3510401
SP,SÃO CARLOS,70793,3548906
MG,PRADOS,50539,3152709
PA,PONTA DE PEDRAS,5134,1505700
PR,TURVO,84530,4127965
SC,SALETE,83011,4215307
MS,BELA VISTA,90417,5002100
MA,PARAIBANO,8532,2107704
BA,IBICUÍ,35459,2912301
SC,NAVEGANTES,82210,4211306
MG,CONFINS,41920,3117876
SC,IPUMIRIM,81515,4207700
SP,DRACENA,63894,3514403
MG,SANTANA DE PIRAPAMA,51691,3158508
BA,MACAJUBA,36935,2919603
PE,CANHOTINHO,23736,2603702
BA,NAZARÉ,37516,1714302
SC,IPORÃ DO OESTE,80020,4207650
RN,ANTÔNIO MARTINS,16179,2400901
MG,TURMALINA,53937,3169703
PE,SERRA TALHADA,25771,2613909
SP,BIRIGUI,62294,3506508
SC,TUBARÃO,83674,4218707
AL,LAGOA DA CANOA,27812,2704104
MG,SERRA DOS AIMORÉS,53333,3166709
PE,JAQUEIRA,23302,2607950
SP,CÂNDIDO MOTA,63010,3510005
PB,PIANCÓ,21270,2511301
CE,ACARAÚ,13030,2300200
GO,MARZAGÃO,94536,5212907
SC,SAUDADES,83410,4217303
SP,UBATUBA,72095,3555406
MT,CANARANA,91936,2906204
PR,UMUARAMA,79359,4128104
SP,GUARIBA,64734,3518602
AL,MAJOR ISIDORO,27871,2704401
PR,CAMBARÁ,74691,4103602
AM,MANICORÉ,2577,1302702
ES,APIACÁ,56090,3200508
AL,OURO BRANCO,28215,2408508
MA,ARAIOSES,7170,2100907
AC,PLÁCIDO DE CASTRO,1511,1200385
SP,MAIRINQUE,66699,3528403
CE,ICÓ,14095,2305407
BA,NOVO HORIZONTE,39942,2923035
RJ,CORDEIRO,58297,3301504
SP,ROSANA,61166,3544251
MG,FRUTA DE LEITE,42080,3127073
RJ,ITAPERUNA,58432,3302205
RS,URUGUAIANA,89516,4322400
SC,XANXERÊ,83836,4219507
PB,CAJAZEIRAS,19755,2503704
CE,DEPUTADO IRAPUAN PINHEIRO,15989,2304269
PB,COREMAS,19976,2504801
PA,OEIRAS DO PARÁ,5037,1505205
PR,SÃO CARLOS DO IVAÍ,78670,4124608
ES,ITARANA,56570,3202900
RO,COLORADO DO OESTE,230,1100064
MG,SÃO SEBASTIÃO DO PARAÍSO,52930,3164704
RJ,QUEIMADOS,58122,3304144
MG,SÃO JOÃO BATISTA DO GLÓRIA,52434,3162203
PR,SÃO JOSÉ DAS PALMEIRAS,84719,4125456
SE,BOQUIM,31151,2800670
PA,SANTANA DO ARAGUAIA,5339,1506708
PA,MEDICILÂNDIA,5770,1504455
PR,CASCAVEL,74934,2303501
PA,INHANGAPI,4677,1503408
MT,SANTO AFONSO,90328,5107263
PI,CAMPO MAIOR,10430,2202208
MA,CENTRO DO GUILHERME,7447,2103158
AL,SÃO SEBASTIÃO,28754,2708808
RS,VILA MARIA,85642,4323408
BA,ALCOBAÇA,33154,2900801
SP,ILHABELA,65099,3520400
BA,SENTO SÉ,39039,2930204
RJ,CONCEIÇÃO DE MACABU,58270,3301405
SC,CURITIBANOS,80934,4204806
BA,ALAGOINHAS,33138,2900702
RS,PAVERAMA,85146,4314159
PA,XINGUARA,5711,1508407
SP,ELIAS FAUSTO,63991,3514908
RJ,PORCIÚNCULA,58815,3304102
BA,CORIBE,34819,2909109
CE,PEREIRO,15172,2310803
PE,GLÓRIA DO GOITÁ,24210,2606101
PI,SIGEFREDO PACHECO,10545,2210656
PE,ITAPETIM,24538,2607703
RS,SANTO ANTÔNIO DAS MISSÕES,88579,4317707
SP,CASA BRANCA,63177,3510807
MA,ESTREITO,9636,2104057
MG,PONTE NOVA,50415,3152105
SC,SANTA TEREZINHA,80349,2612802
PI,MONSENHOR GIL,11274,2206407
CE,MOMBAÇA,14710,2308500
MG,PEDRO TEIXEIRA,49875,3149408
MG,VIÇOSA,54275,2414902
RJ,SUMIDOURO,59137,3305703
ES,BOA ESPERANÇA,56197,3107109
RN,SENADOR GEORGINO AVELINO,18619,2413201
PA,AFUÁ,4057,1500305
SC,ÁGUA DOCE,80071,4200408
PI,CAMPO GRANDE DO PIAUÍ,10723,2202133
RR,CARACARAÍ,3034,1400209
SP,HERCULÂNDIA,64815,3519006
SP,VINHEDO,72370,3556701
MG,BARÃO DE MONTE ALTO,41092,3105509
SP,CAPELA DO ALTO,63070,3510302
MG,SANTANA DO DESERTO,51713,3158607
PR,PEABIRU,77577,4118808
RS,SANTO CRISTO,88617,4317905
PB,SÃO MAMEDE,21997,2514909
AL,CORURIPE,27456,2702306
MG,CAXAMBU,43095,3115508
SP,ARAÇARIGUAMA,61263,3502754
PR,TOMAZINA,79294,4127809
RR,IRACEMA,3026,1400282
RS,IVOTI,87173,4310801
GO,HIDROLÂNDIA,93890,2305209
CE,TARRAFAS,13366,2313252
RN,CAMPO REDONDO,16411,2402105
MT,NOVA GUARITA,90140,5108808
CE,MASSAPÊ,14613,2308005
GO,SANTO ANTÔNIO DO DESCOBERTO,96776,5219753
PR,CLEVELÂNDIA,75094,4105706
CE,IRACEMA,14214,1400282
RS,TRIUNFO,89435,2516805
BA,MORRO DO CHAPÉU,37354,2921708
MG,CATAGUASES,43052,3115300
TO,ABREULÂNDIA,73008,1700251
RS,CAÇAPAVA DO SUL,85553,4302808
PB,CUBATI,20010,2505006
RS,PANAMBI,87815,4313904
SP,ITAPETININGA,65471,3522307
RO,BURITIS,779,1100452
AL,INHAPI,27650,2703304
PI,MONTE ALEGRE DO PIAUÍ,11312,2206605
BA,PIRITIBA,37974,2924801
AL,MARIBONDO,27952,2704807
MG,INHAPIM,46175,3130903
MT,ALTO ARAGUAIA,90050,5100300
BA,SERRINHA,39098,2413508
BA,SÃO JOSÉ DO JACUÍPE,38865,2929370
BA,PRADO,38113,2925501
SP,NARANDIBA,67458,3532207
MG,RIO VERMELHO,51195,3156007
RS,FARROUPILHA,86550,4307906
MS,ELDORADO,91731,3514809
SP,MARTINÓPOLIS,66850,3529203
SP,SERTÃOZINHO,71358,2515930
PE,VERDEJANTE,26212,2616100
ES,JAGUARÉ,57134,3203056
SP,CARDOSO,63150,3510708
PE,CONDADO,23914,2504504
RS,TRÊS DE MAIO,89397,4321808
MA,PEDREIRAS,8613,2108207
AL,FEIRA GRANDE,27510,2702603
MG,MUZAMBINHO,48810,3144102
PE,ÁGUA PRETA,23078,2600401
ES,LINHARES,56634,3203205
SP,ITARARÉ,65650,3523206
MG,CONGONHAS,43591,3118007
RS,IBIRUBÁ,87017,4310009
CE,BELA CRUZ,13455,2302305
CE,MILHÃ,15970,2308351
RJ,ARMAÇÃO DOS BÚZIOS,58408,3300233
MT,ROSÁRIO OESTE,91537,5107701
GO,MAIRIPOTABA,94471,5212600
SP,MONGAGUÁ,67237,3531100
BA,NOVO TRIUNFO,37621,2923050
RS,SÃO MIGUEL DAS MISSÕES,85480,4319158
PA,VIGIA,5630,1508209
BA,SEBASTIÃO LARANJEIRAS,38997,2930006
MG,ANDRELÂNDIA,40550,3102803
RS,AJURICABA,85030,4300208
PA,QUATIPURU,4685,1506112
CE,HORIZONTE,13188,2305233
MG,CAMPESTRE,42196,2701357
MS,JARDIM,90999,2307106
MT,ALTO TAQUARI,98612,5100607
PR,TUNAS DO PARANÁ,74888,4127882
GO,OUVIDOR,95079,5215504
RJ,NILÓPOLIS,58637,3303203
SE,AQUIDABÃ,31038,2800209
CE,OCARA,13307,2309458
PR,IMBITUVA,75973,4110102
RS,PINHEIRO MACHADO,87939,4314506
BA,HELIÓPOLIS,30970,2911857
SP,MACATUBA,66613,3528007
PI,JUAZEIRO DO PIAUÍ,12416,2205516
SC,FORQUILHINHA,81060,4205456
MG,LAGOA SANTA,47511,3137601
SP,BARBOSA,61999,3505104
PA,SÃO DOMINGOS DO CAPIM,5436,1507201
RN,SÃO GONÇALO DO AMARANTE,18376,2312403
MA,PEDRO DO ROSÁRIO,8060,2108256
RO,PRESIDENTE MÉDICI,191,1100254
AC,FEIJÓ,1139,1200302
RS,VALE DO SOL,88064,4322533
PR,RENASCENÇA,78093,4121604
SP,GUAREÍ,64718,3518503
BA,CÂNDIDO SALES,34339,2906709
SP,PIRAPOZINHO,68853,3539202
MA,BENEDITO LEITE,7358,2101806
PR,SÃO JORGE DOESTE,78816,4125209
CE,LAVRAS DA MANGABEIRA,14516,2307502
SP,CRUZEIRO,63690,3513405
PR,CARAMBEÍ,75221,4104659
RN,LAJES,17337,2406700
BA,MASCOTE,37192,2920908
MT,BARRA DO GARÇAS,90352,5101803
MG,SENADOR CORTES,53112,3165602
SP,ITÁPOLIS,65552,3522703
MT,CAMPOS DE JÚLIO,90743,5102686
SP,ARARAS,61654,3503307
ES,ITAPEMIRIM,56553,3202801
CE,MARANGUAPE,14559,2307700
SC,ITÁ,81574,4208005
